name,I feel Refreshed,I feel dizzy and irritated,I can plan my day better,I don't feel tired throughout the day
Idell Mackerness,Agree,Disagree,Agree,Agree
Hope Batterham,Agree Strongly,Disagree Strongly,Agree,Agree
Wilmar Burnand,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree
Herby Dougal,Agree,Disagree Strongly,Agree,Agree Strongly
Dalenna Brixey,Disagree Strongly,Agree,Agree,Agree Strongly
Katya Ousley,Agree Strongly,Disagree,Agree,Agree
Jayson Alexsandrov,Agree Strongly,Agree,Agree Strongly,Agree
Krystal McDermott,Agree Strongly,Disagree,Agree,Not Sure
Isadora Waggett,Agree,Agree,Agree Strongly,Agree Strongly
Bryan Crame,Agree,Disagree,Agree,Agree
Conni Insull,Agree Strongly,Agree,Agree,Agree
Sasha Smiths,Agree,Disagree Strongly,Agree,Agree Strongly
Gillian Griss,Agree Strongly,Disagree Strongly,Disagree,Not Sure
Kendre Whyatt,Agree,Agree,Agree,Agree Strongly
Vinnie Nickless,Agree Strongly,Disagree,Agree Strongly,Agree
Tobit Knight,Agree,Disagree Strongly,Agree,Agree
Concettina Pear,Agree Strongly,Not Sure,Agree,Agree
Zeke McNeil,Agree,Agree Strongly,Disagree Strongly,Agree
Clementia Francecione,Agree Strongly,Not Sure,Agree Strongly,Agree Strongly
Sindee Reavell,Agree,Disagree,Agree,Agree Strongly
Derick Hanne,Agree,Disagree,Agree,Agree Strongly
Gratia Labdon,Agree Strongly,Disagree Strongly,Agree,Agree
Luce Barrasse,Agree,Disagree Strongly,Agree Strongly,Agree
Lacy Alner,Not Sure,Disagree,Agree,Agree
Derron Graeme,Not Sure,Disagree,Agree,Agree Strongly
Danell Caine,Agree Strongly,Disagree,Agree,Agree
Burk Hairsnape,Not Sure,Disagree,Agree,Agree
Gene Wicher,Agree,Disagree,Agree,Agree Strongly
Dannye Thow,Agree,Disagree,Agree,Agree
Haskell Wigelsworth,Agree Strongly,Disagree,Agree,Disagree Strongly
Marylee Tunuy,Agree,Disagree,Agree Strongly,Agree Strongly
Jacquelynn Merrilees,Agree,Disagree,Agree,Agree
Danika Springell,Agree,Disagree Strongly,Agree Strongly,Agree
Rosamund Muffitt,Agree Strongly,Not Sure,Disagree Strongly,Agree
Ava Duker,Agree Strongly,Not Sure,Agree Strongly,Agree Strongly
Cele Coniam,Disagree Strongly,Disagree,Agree,Agree
Sampson Balderston,Agree,Disagree Strongly,Disagree Strongly,Agree Strongly
Christean Hutchins,Disagree Strongly,Disagree,Agree,Not Sure
Jefferey Durnian,Disagree Strongly,Disagree,Agree,Agree
Benn Langley,Agree Strongly,Disagree,Agree,Agree Strongly
Jsandye Urpeth,Agree,Disagree Strongly,Agree,Agree Strongly
Fran Pietzner,Agree,Not Sure,Disagree,Agree
Fields Hamnett,Agree Strongly,Disagree Strongly,Agree,Agree Strongly
Mia Hann,Agree Strongly,Disagree,Agree,Agree
Kincaid Moncrieffe,Agree Strongly,Disagree,Agree,Agree
Blakeley Spybey,Agree,Disagree,Agree,Agree
Ginny Janning,Agree Strongly,Disagree,Agree Strongly,Agree Strongly
Renell McAlindon,Agree Strongly,Not Sure,Agree,Agree Strongly
Patience Asbery,Agree Strongly,Disagree,Agree,Agree
Alisha Goulder,Not Sure,Disagree,Agree,Agree
Lurline Cattenach,Agree,Disagree Strongly,Disagree Strongly,Agree Strongly
Greta Adamolli,Disagree,Disagree,Agree,Agree
Elinore Nolleth,Not Sure,Disagree Strongly,Agree,Agree
Alexandrina Rihosek,Agree Strongly,Not Sure,Disagree Strongly,Agree
Dev Tollfree,Agree Strongly,Disagree Strongly,Agree,Agree
Latrina Hassekl,Disagree,Disagree Strongly,Agree Strongly,Not Sure
Kendricks Brabban,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly
Sheba Bennington,Not Sure,Disagree Strongly,Agree Strongly,Agree Strongly
Antonie Spadeck,Agree,Agree,Disagree Strongly,Agree
Vivyanne Dashkov,Disagree,Disagree,Agree,Agree Strongly
Caria Andreix,Agree,Agree,Agree,Agree Strongly
Lita Raisher,Agree,Disagree,Agree,Agree Strongly
Randal Biasioni,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Strongly
Raymond Pepler,Disagree Strongly,Disagree,Agree,Agree Strongly
Alvan Fieldgate,Disagree Strongly,Disagree,Agree,Agree
Kin Beamish,Agree,Disagree Strongly,Agree Strongly,Disagree Strongly
Chloe Chastenet,Disagree,Disagree,Agree,Agree
Jessey Silverson,Disagree,Disagree,Agree Strongly,Agree
Jase Farryn,Agree,Disagree,Agree,Not Sure
Basile Blatcher,Agree Strongly,Agree,Agree,Agree
Gwyn Readwing,Disagree Strongly,Agree,Agree,Agree
Kasey Elphinstone,Disagree,Agree,Agree,Agree
Augusta Macias,Disagree Strongly,Not Sure,Agree Strongly,Agree
Gerek Gothrup,Agree,Not Sure,Agree,Not Sure
Orly Saltern,Agree,Agree,Agree Strongly,Agree
Isidora Tolwood,Agree,Disagree,Agree,Agree
Orbadiah Ratray,Not Sure,Disagree Strongly,Agree Strongly,Agree
Lizbeth Bertlin,Agree,Disagree Strongly,Agree,Agree
Adelaide Dougliss,Not Sure,Agree,Disagree,Agree
Pall McOrkil,Agree Strongly,Not Sure,Disagree,Agree
Sylvia Petranek,Agree Strongly,Disagree,Disagree Strongly,Agree
Brittani Garstan,Agree,Not Sure,Agree,Agree
Rustin Hoggin,Agree,Disagree,Agree,Agree Strongly
Craggie Danson,Agree,Disagree,Agree Strongly,Agree
Aubree Fronek,Agree,Disagree,Agree Strongly,Agree
Clementius Beames,Agree,Agree,Agree,Disagree
Faulkner Kinnar,Disagree Strongly,Disagree,Agree Strongly,Not Sure
Tommy Slatten,Disagree Strongly,Agree Strongly,Agree,Agree
Jeri Tesche,Not Sure,Agree,Agree,Agree
Nadeen Swane,Agree,Disagree,Agree,Disagree Strongly
Ashil Santo,Disagree Strongly,Agree,Agree,Agree Strongly
Roberto Landal,Agree Strongly,Disagree Strongly,Agree,Not Sure
Aldric Seager,Agree Strongly,Disagree,Agree,Agree Strongly
Ulick Farndon,Disagree Strongly,Disagree Strongly,Agree,Agree
Corrie Bulluck,Not Sure,Agree Strongly,Disagree,Disagree Strongly
Laurianne Wittman,Agree Strongly,Disagree,Disagree,Agree Strongly
Alex Simpole,Agree,Agree,Agree,Agree Strongly
Jade Erratt,Agree,Agree,Agree,Agree
Olimpia Sword,Agree,Agree,Agree,Agree
Sharona Koppelmann,Disagree,Disagree,Agree,Agree
Terrijo Cropp,Agree Strongly,Disagree,Agree,Agree Strongly
Jacqui Hargreave,Agree,Disagree,Agree,Agree Strongly
Shanta Rioch,Disagree Strongly,Disagree,Agree,Agree Strongly
Kinny Gallelli,Disagree,Disagree,Agree,Agree
Shannon Wedmore,Agree,Disagree,Disagree Strongly,Disagree
Aurthur Gye,Agree,Agree,Not Sure,Not Sure
Merridie Vossgen,Agree,Agree,Agree,Disagree
Arvin Van Cassel,Disagree Strongly,Disagree,Agree,Agree
Dynah McIlmurray,Disagree Strongly,Disagree,Agree,Agree
Brigg Letchford,Agree,Disagree Strongly,Agree,Agree
Berky Nisbet,Agree,Disagree,Agree,Agree
Rae Dener,Disagree Strongly,Disagree,Agree,Agree
Griswold Skala,Agree,Disagree,Agree,Not Sure
Auria Izkovici,Agree,Disagree,Agree,Agree
Edan Pashe,Agree,Disagree Strongly,Agree Strongly,Agree
Linnell Cluer,Agree,Disagree,Agree,Agree
Sheryl Baulcombe,Disagree Strongly,Disagree,Agree,Agree
Neel Golling,Agree Strongly,Disagree,Not Sure,Agree
Alvera Leddie,Agree,Disagree,Agree,Agree
Isacco Limpenny,Agree,Disagree Strongly,Agree Strongly,Agree
Giffie Kime,Agree,Disagree,Disagree,Not Sure
Legra Golby,Agree,Agree,Not Sure,Agree
Nadya Habbes,Agree Strongly,Disagree,Agree,Agree Strongly
Marika Lillford,Agree,Agree,Agree Strongly,Agree Strongly
Elmore Tilbrook,Agree,Agree,Agree Strongly,Disagree
Kerwinn Aikenhead,Disagree Strongly,Agree,Agree,Agree
Noah Butterick,Agree,Agree,Agree,Agree
Carilyn Libbey,Agree Strongly,Disagree,Agree,Agree
Jan Quinion,Not Sure,Agree,Agree,Agree
Brandy Dafforne,Agree,Not Sure,Agree,Not Sure
Mic Sainte Paul,Agree,Disagree,Agree,Agree
Tonya Sealove,Disagree Strongly,Agree Strongly,Agree,Not Sure
Eyde Sprague,Agree,Disagree,Agree,Not Sure
Eula Meers,Agree Strongly,Disagree Strongly,Agree,Agree
Nichols Ody,Disagree Strongly,Agree,Agree,Agree
Carmelle Coopman,Agree,Disagree Strongly,Not Sure,Agree Strongly
Dominga Aymerich,Agree,Disagree Strongly,Agree,Agree Strongly
Kiri Haxell,Agree Strongly,Disagree,Disagree,Agree
Meggi Hasney,Agree Strongly,Agree,Agree Strongly,Agree
Brittney Vasyanin,Agree Strongly,Disagree,Agree,Agree
Burnaby Drydale,Agree,Not Sure,Disagree,Agree
Hilario Slayny,Agree Strongly,Disagree,Agree,Agree
Ailis McVee,Agree Strongly,Disagree,Disagree,Agree
Rosina Screaton,Agree,Agree,Not Sure,Agree
Leese Bein,Agree,Not Sure,Agree Strongly,Agree
Lionel Burgne,Agree Strongly,Disagree,Agree,Agree
Althea Tondeur,Agree,Disagree Strongly,Agree,Disagree
Luke Mallen,Agree,Disagree,Agree Strongly,Agree
Alonso Hakewell,Agree,Disagree Strongly,Agree,Agree Strongly
Tristan McSherry,Agree,Agree,Agree,Agree
Clerc Leavens,Disagree Strongly,Not Sure,Agree Strongly,Agree
Humfrey Nottingam,Agree,Disagree,Agree,Agree Strongly
Guendolen Ledley,Disagree Strongly,Agree,Agree,Agree
Ardine Milverton,Agree Strongly,Agree,Agree Strongly,Agree
Rutherford Carnson,Agree,Disagree,Agree Strongly,Agree Strongly
Dominique Balazs,Agree Strongly,Disagree,Agree,Agree Strongly
Reed Huzzay,Agree,Disagree,Agree,Agree
Henderson Bentham,Agree,Agree,Agree,Not Sure
Cornelius Traske,Agree,Not Sure,Agree,Agree Strongly
Zane Likely,Agree,Agree,Agree,Agree
Sela Diviny,Agree,Disagree,Agree Strongly,Agree Strongly
Silva Philipeaux,Agree,Agree Strongly,Agree,Agree
Corie Ebdon,Agree,Not Sure,Agree,Agree
Odey Louis,Agree Strongly,Disagree,Not Sure,Agree Strongly
Juli Tremayle,Disagree,Disagree,Agree,Agree
Marika Abelevitz,Agree,Disagree,Agree,Agree
Shepherd Lideard,Agree,Disagree,Agree,Agree
Kristal Mingus,Disagree,Agree,Agree Strongly,Disagree
Bernie Caplis,Agree,Agree,Agree,Agree
Wally Peer,Agree,Disagree,Agree Strongly,Agree
Faustina Easen,Agree Strongly,Agree,Agree,Agree
Willi Slad,Agree,Disagree Strongly,Agree Strongly,Agree Strongly
Abie Donnison,Not Sure,Disagree,Agree Strongly,Agree
Hildy Tydeman,Agree Strongly,Disagree Strongly,Agree,Agree Strongly
Dorena Slayford,Agree,Disagree Strongly,Agree,Not Sure
Elsie Ruilton,Agree,Disagree Strongly,Agree,Agree
Dar Parsisson,Not Sure,Disagree,Not Sure,Agree
Micheal Bellelli,Agree,Agree Strongly,Agree,Agree Strongly
Faun Gotfrey,Agree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly
Austine Spadoni,Disagree,Disagree,Disagree,Not Sure
Jeddy Minto,Disagree Strongly,Agree,Agree,Agree Strongly
Tomi Diggles,Agree,Disagree,Agree,Agree Strongly
Leonhard Algeo,Agree,Disagree,Agree Strongly,Agree
Grover Crew,Agree,Disagree,Agree,Agree
Major Crampton,Disagree Strongly,Agree,Agree Strongly,Agree Strongly
Ransom Woodworth,Agree Strongly,Not Sure,Agree Strongly,Agree
Mandy Cotton,Agree,Disagree,Agree Strongly,Agree Strongly
Earlie Mico,Agree,Disagree,Agree,Agree
Ryon Thorington,Agree,Disagree,Agree,Agree Strongly
Samuele Staziker,Agree,Disagree,Agree Strongly,Agree
Jeffrey Dodds,Agree,Disagree,Agree,Agree Strongly
Olivie Slobom,Disagree,Disagree,Agree,Agree
Sophia Clendening,Agree Strongly,Disagree,Agree Strongly,Disagree
August Hammatt,Agree,Disagree,Agree,Agree
Hale Thridgould,Agree,Agree,Agree,Not Sure
Stanleigh Cristoferi,Agree,Disagree,Agree,Not Sure
Tessy Busby,Agree,Agree,Disagree Strongly,Agree
Kira Anyon,Agree Strongly,Disagree,Not Sure,Agree
Sawyere Duigan,Agree,Disagree,Agree,Agree Strongly
Mair Eads,Agree,Disagree,Agree,Disagree Strongly
Cheri Basnett,Agree,Disagree,Agree,Agree
Kaila Tratton,Agree Strongly,Disagree,Agree,Agree
Orbadiah McAllen,Agree,Not Sure,Agree,Agree
Zebulen Lauderdale,Agree Strongly,Disagree,Agree Strongly,Agree
Horatia Comford,Agree,Agree,Agree,Agree
Pace Jaume,Agree,Disagree Strongly,Agree,Agree
Crosby Nizet,Disagree Strongly,Disagree,Disagree,Not Sure
Ruy Nathan,Agree,Disagree,Agree,Agree
Gena Napier,Not Sure,Not Sure,Disagree,Agree
Ginger Albion,Agree Strongly,Disagree Strongly,Agree,Agree Strongly
Janna Ferrone,Disagree Strongly,Disagree Strongly,Agree,Disagree Strongly
Lila Feary,Agree Strongly,Disagree,Agree Strongly,Agree Strongly
Shirley Sains,Disagree Strongly,Agree,Agree,Agree
Vincent Casiroli,Agree Strongly,Disagree,Agree,Agree
Jermaine Shea,Disagree,Disagree,Disagree,Agree
Therese McKeating,Agree,Agree,Agree Strongly,Agree
Billie Broggetti,Agree Strongly,Not Sure,Agree Strongly,Disagree
Jacky Ghiraldi,Agree,Disagree,Agree,Agree
Shurlocke Zuanazzi,Disagree Strongly,Disagree Strongly,Agree,Agree
Renelle Gimlet,Agree,Agree,Agree,Agree
Gerry Curme,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly
Padraig Keighley,Disagree Strongly,Disagree,Agree,Agree Strongly
Trefor De Ruggiero,Disagree,Disagree,Agree,Agree
Olav Beneix,Agree,Agree,Agree,Disagree
Grazia Pevsner,Agree,Disagree,Agree,Agree
Maggi Pankhurst.,Agree,Agree,Agree,Not Sure
Crysta Omand,Disagree Strongly,Not Sure,Agree,Agree
Debby Phippin,Agree,Agree Strongly,Disagree,Agree
Lenard Manklow,Agree,Disagree,Agree,Agree Strongly
Shepard Absolom,Agree Strongly,Disagree Strongly,Agree Strongly,Agree
Gannie Hacker,Agree Strongly,Disagree,Agree Strongly,Agree
Hedda Bresland,Agree,Disagree,Agree Strongly,Agree
Shane Huson,Agree,Disagree,Agree,Agree
Eddie Weems,Agree,Not Sure,Not Sure,Disagree Strongly
Lorain Turrill,Agree,Disagree Strongly,Agree Strongly,Not Sure
Bette Freyn,Disagree,Disagree Strongly,Agree,Agree Strongly
Nesta Hallahan,Agree,Disagree,Agree,Agree
Gabie Gymblett,Agree Strongly,Disagree Strongly,Agree,Agree
Tabbie Nutty,Agree,Disagree,Agree,Agree Strongly
Abel Wibberley,Disagree Strongly,Disagree,Agree,Agree
Wayne Rosendorf,Agree,Disagree,Agree,Agree
Ravi Tremoille,Agree,Not Sure,Agree,Agree
Winslow Guyonneau,Agree Strongly,Agree,Agree,Agree
Elna Finlry,Not Sure,Disagree,Agree,Not Sure
Baron Hillum,Agree,Disagree,Agree,Agree
Elena Bambury,Agree,Disagree Strongly,Agree,Agree
Filide Secretan,Agree,Disagree,Agree,Not Sure
Stace Charity,Disagree Strongly,Disagree,Disagree,Agree
Shay Swire,Agree,Disagree,Agree,Agree
Thorsten Udell,Agree Strongly,Disagree,Agree,Agree Strongly
Gregor Slany,Disagree,Disagree Strongly,Agree,Agree
Sammy Housden,Agree,Disagree,Agree Strongly,Not Sure
Lydon Greenless,Disagree Strongly,Agree,Agree,Not Sure
Dagny Karpushkin,Agree Strongly,Disagree,Agree Strongly,Agree Strongly
Grayce Bielfelt,Agree Strongly,Disagree,Agree Strongly,Agree Strongly
Belinda Keymar,Agree Strongly,Disagree,Agree Strongly,Agree
Blanca Lumbly,Disagree,Not Sure,Disagree Strongly,Agree
Pembroke Hyman,Disagree Strongly,Disagree,Agree,Agree Strongly
Patsy Biggs,Agree Strongly,Disagree Strongly,Agree,Not Sure
Sandie Pretty,Disagree Strongly,Agree,Agree,Agree Strongly
Lenci Yanyushkin,Agree,Disagree,Agree,Agree Strongly
Anne-marie Rulf,Disagree,Disagree Strongly,Agree,Agree
Haleigh Dilliston,Agree,Disagree,Agree,Agree Strongly
Barnabas Pitney,Agree Strongly,Disagree,Agree,Not Sure
Marc Beccero,Disagree Strongly,Agree,Agree,Agree
Anselma Goucher,Agree,Disagree,Agree,Agree
Sallyanne Roke,Agree Strongly,Not Sure,Agree Strongly,Not Sure
Jobina Houltham,Not Sure,Disagree,Agree,Agree
Janie Cusiter,Agree Strongly,Disagree,Agree,Agree
Lina Abraham,Disagree Strongly,Disagree,Agree,Agree
Emanuel Meo,Agree,Disagree,Agree,Agree
Siouxie By,Agree,Disagree,Agree,Disagree Strongly
Wilmette Librey,Agree,Agree,Agree Strongly,Not Sure
Pascale Bumphrey,Agree Strongly,Disagree,Agree Strongly,Disagree
Ailee Kemster,Agree,Disagree Strongly,Agree Strongly,Agree Strongly
Norma Rooze,Agree Strongly,Disagree,Agree,Disagree Strongly
Cornelle Petricek,Agree,Disagree,Agree Strongly,Agree
Tiler Fullard,Agree,Disagree,Agree,Agree
Dela Kubalek,Disagree Strongly,Disagree Strongly,Agree,Agree
Gavra Brockwell,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly
Leonid Razoux,Agree Strongly,Disagree,Agree,Agree Strongly
Wilden Eudall,Disagree Strongly,Disagree,Agree,Agree Strongly
Quinta Burdytt,Agree,Disagree Strongly,Agree,Agree
Morty Santostefano.,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly
Saxon Porch,Agree,Disagree Strongly,Agree,Agree
Sarita Monnery,Agree,Disagree Strongly,Agree,Agree Strongly
Debor Piscopo,Agree,Disagree,Agree,Agree
Sukey Penrice,Agree,Not Sure,Agree Strongly,Agree
Justis Lukock,Agree,Not Sure,Agree,Agree
Jobye Jedraszczyk,Agree,Disagree,Agree,Agree
Alaine Barlow,Disagree Strongly,Disagree,Agree,Not Sure
Romola Harflete,Agree Strongly,Disagree,Agree Strongly,Agree Strongly
Carol MacCumeskey,Disagree Strongly,Not Sure,Agree,Agree Strongly
Danya Devonside,Agree,Agree,Disagree,Agree
Prentice Brehault,Agree,Disagree Strongly,Agree Strongly,Agree
Madelene De Biaggi,Disagree,Disagree Strongly,Agree,Not Sure
Keslie Farnan,Agree Strongly,Disagree,Not Sure,Agree
Dud Pentlow,Agree,Not Sure,Agree,Agree
Wildon Janota,Agree,Disagree Strongly,Agree Strongly,Agree
Willy Joynt,Agree Strongly,Disagree Strongly,Agree,Not Sure
Georas Dreschler,Agree,Not Sure,Agree Strongly,Agree Strongly
Talbot Enefer,Agree,Not Sure,Agree,Agree Strongly
Layla Slyde,Agree Strongly,Disagree,Agree Strongly,Agree
Mahmud Gurner,Agree Strongly,Disagree,Agree Strongly,Disagree
Abran Perello,Disagree Strongly,Disagree,Agree,Agree
Albert Barrowclough,Agree,Disagree,Agree,Not Sure
Kelby Denniss,Disagree Strongly,Disagree Strongly,Agree Strongly,Not Sure
Valle Dorro,Agree,Disagree,Agree,Agree Strongly
Mayor Tree,Agree,Disagree Strongly,Agree,Agree
Dot Ren,Agree Strongly,Disagree,Agree Strongly,Not Sure
Serge Siderfin,Agree Strongly,Agree,Disagree,Agree Strongly
Dorry Bayford,Agree,Disagree,Agree,Agree
Reider Ffoulkes,Agree Strongly,Disagree Strongly,Agree,Agree Strongly
Cody Nurden,Agree,Disagree Strongly,Agree Strongly,Agree
Shari Domelow,Agree,Disagree Strongly,Agree,Agree
Anita Prigg,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly
Gasper Bicker,Agree Strongly,Disagree,Agree Strongly,Agree
Jeno Jado,Agree Strongly,Disagree,Agree Strongly,Agree
Hedi MacTeague,Not Sure,Disagree,Agree,Agree
Raeann Jeannequin,Agree,Disagree Strongly,Agree Strongly,Agree
Izabel Stapleford,Agree,Disagree,Agree,Agree Strongly
Zulema Shropsheir,Agree Strongly,Agree,Disagree Strongly,Agree
Muriel Rasor,Agree,Disagree,Agree Strongly,Agree
Natalina Room,Disagree Strongly,Disagree Strongly,Agree,Agree
Tommy Thurske,Disagree,Agree,Agree,Not Sure
Michael Formilli,Agree,Disagree,Agree Strongly,Agree
Mitzi Haithwaite,Agree Strongly,Disagree,Agree Strongly,Agree
Lenna Fricke,Agree,Disagree,Agree,Agree
Shandie Liddyard,Agree,Agree,Agree,Agree
Corbin Kimbell,Agree,Disagree,Disagree,Agree
Tommy Dunniom,Agree,Agree Strongly,Agree Strongly,Agree
Donelle Gaize,Agree,Disagree,Agree Strongly,Agree
Pietra Pereira,Agree,Agree,Agree,Agree Strongly
Ortensia Growcott,Agree,Disagree,Agree,Agree
Carney Barrell,Agree,Disagree,Agree Strongly,Agree Strongly
Augusto McSkin,Agree Strongly,Agree,Agree,Agree
Lucy Relton,Disagree,Agree,Agree,Agree
Grenville Blowin,Agree,Agree,Agree,Agree
Gerick Madgwich,Not Sure,Agree,Agree Strongly,Agree Strongly
Constancia Barritt,Agree,Disagree,Agree,Agree Strongly
Valina Ledford,Agree Strongly,Agree,Agree,Agree
Lolly Rawls,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly
Chrissie Bushill,Agree,Disagree Strongly,Agree,Not Sure
Cherri Fawbert,Not Sure,Agree,Agree,Agree
Collie Tuxill,Agree,Disagree,Agree Strongly,Agree Strongly
Cyrus Dudman,Agree Strongly,Disagree Strongly,Agree Strongly,Not Sure
Farlie Queripel,Agree Strongly,Disagree,Disagree,Agree Strongly
Amaleta Feifer,Agree Strongly,Agree,Agree,Agree
Gerhardine Ethelstone,Agree Strongly,Disagree,Agree,Agree
Annabell Gueny,Not Sure,Disagree,Agree,Disagree Strongly
Ranice Pescott,Agree Strongly,Disagree Strongly,Not Sure,Agree
Rhodie Clee,Not Sure,Disagree,Agree,Agree Strongly
Sim Grandham,Agree,Not Sure,Disagree,Agree Strongly
Penn Glanders,Agree,Disagree,Agree Strongly,Agree
Kata Carrol,Agree,Disagree,Agree,Agree
Robers Jaycox,Agree,Disagree,Agree,Agree Strongly
Dory Lemonby,Agree,Agree Strongly,Agree,Agree
Dante Biddles,Agree,Not Sure,Disagree,Disagree
Lena Quare,Agree,Agree,Disagree,Agree Strongly
Rube Rossey,Agree,Not Sure,Agree,Disagree
Nowell Haskew,Agree,Agree,Agree,Agree Strongly
Mic Melbourn,Agree,Disagree Strongly,Agree Strongly,Not Sure
Hashim Vasilchenko,Disagree,Disagree,Agree Strongly,Not Sure
Corenda McInteer,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree
Axe Lurcock,Agree,Disagree Strongly,Agree,Agree Strongly
Marga Aylin,Agree Strongly,Disagree Strongly,Agree,Agree
Fred Ornillos,Agree,Disagree,Agree Strongly,Not Sure
Nickola Kordes,Agree,Disagree,Agree,Agree Strongly
Harlie Poutress,Agree,Disagree,Agree,Agree
Teodor Landeg,Agree,Disagree,Agree,Agree
Dodie Boggs,Agree Strongly,Not Sure,Agree,Agree
Bamby Locard,Agree Strongly,Agree,Agree,Agree
Liz Deniseau,Disagree Strongly,Disagree,Agree,Agree
Daffy Davies,Agree Strongly,Disagree,Agree Strongly,Disagree
Aubert Mewrcik,Agree,Disagree,Agree Strongly,Not Sure
Ramona Adaway,Agree,Disagree,Disagree Strongly,Agree Strongly
Paloma Harkins,Agree Strongly,Disagree,Agree Strongly,Agree
Mufinella Foyston,Agree,Disagree,Agree Strongly,Not Sure
Garvy Hutchcraft,Agree Strongly,Disagree,Agree,Not Sure
Dory Cropton,Agree Strongly,Agree,Agree,Agree
Lexie Rhead,Agree Strongly,Disagree,Agree,Agree Strongly
Ced Merriton,Agree,Disagree,Disagree Strongly,Agree Strongly
Lindsey Caistor,Agree Strongly,Agree,Agree,Agree
Roanne McGow,Agree,Disagree,Disagree Strongly,Agree Strongly
Rebbecca Sighart,Agree,Disagree,Agree,Agree
Matthus Byfford,Agree,Agree,Agree,Disagree Strongly
Lorenza Coffelt,Agree,Agree,Agree Strongly,Agree
Connie Doherty,Agree,Disagree,Agree,Agree Strongly
Xenia Donovin,Disagree Strongly,Disagree Strongly,Agree,Agree
Travis Pound,Agree,Agree,Agree,Agree
Di Stonhard,Not Sure,Disagree,Agree,Agree Strongly
Raine Margach,Agree,Not Sure,Agree,Agree
Lorant Isac,Agree,Disagree,Disagree,Agree Strongly
Van Prozescky,Agree,Disagree,Agree Strongly,Agree Strongly
Lyndy Domino,Agree Strongly,Disagree,Agree,Agree
Juieta MacDowall,Agree Strongly,Agree,Agree,Agree Strongly
Cole Burnep,Agree,Disagree Strongly,Agree,Agree Strongly
Rosa O'Gavin,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly
Babita Sertin,Agree,Disagree,Agree,Agree
Bertram Lippitt,Agree,Disagree,Agree,Agree
Falkner Sloey,Disagree,Not Sure,Agree,Agree
Juieta Algeo,Agree Strongly,Disagree,Agree,Agree
